feature,importance_mean,importance_std
transaction_volume,0.14095058643160158,0.008032285586166194
processing_time_hours,0.0065172395066792396,0.005197419196607114
change_requests_30d,0.002797483877646623,0.002445882186351683
channel,0.0023399424638008482,0.002597235652923136
historical_incidents_90d,0.0021607434077728026,0.0028116075156078423
region,0.0010338933870356782,0.0016058566596245556
open_cases_count,-0.00011275446828283853,0.001739956741769558
product_line,-0.0003856080059072453,0.0021957430050955863
customer_tenure_months,-0.001271960359499258,0.0011639604949093714
customer_segment,-0.0019464479768941834,0.003651902574010921
missing_docs_flag,-0.002024000434455664,0.003175709840148365
high_priority_source_flag,-0.0031862480927947966,0.001667088314108938
